,age_group,gender,education,total_fam_income,marital_status,nicotine,alcohol,marijuana,cocaine,heroin,hallucinogen,inhalant,methamphetamine,pain_reliever,tranquilizer,stimulant,psychotherapeutic,think,plan,attempt
197,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
199,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
220,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
223,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
241,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
245,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
246,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
262,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
263,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
265,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
284,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
303,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
304,1,0,5,7,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
306,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
307,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
311,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
315,1,1,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
319,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
329,1,0,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
330,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1,0,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
333,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
335,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
336,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
338,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,1,0,5,7,4,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
353,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
354,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
356,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
357,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
359,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
360,1,0,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
362,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
372,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
379,1,0,5,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
380,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
381,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
383,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
390,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
396,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
408,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
411,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
414,1,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
419,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
422,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
430,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
436,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,1,0,5,7,4,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
447,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
456,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
461,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
470,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
471,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
472,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
477,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
493,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
499,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
503,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
512,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
526,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
537,1,1,5,5,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
542,1,1,5,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
547,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
559,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
560,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
563,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
572,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
573,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
